joyful, Q1
delighted, Q1
content, Q1
cheerful, Q1
ecstatic, Q1
glad, Q1
elated, Q1
jubilant, Q1
merry, Q1
blissful, Q1
euphoric, Q1
pleased, Q1
gleeful, Q1
happy, Q1
upset, Q2
furious, Q2
enraged, Q2
irritated, Q2
incensed, Q2
annoyed, Q2
wrathful, Q2
agitated, Q2
exasperated, Q2
indignant, Q2
irate, Q2
vexed, Q2
resentful, Q2
infuriated, Q2
mad, Q2
sorrowful, Q3
melancholy, Q3
unhappy, Q3
dejected, Q3
gloomy, Q3
despondent, Q3
forlorn, Q3
crestfallen, Q3
dismal, Q3
downcast, Q3
somber, Q3
disheartened, Q3
mournful, Q3
blue, Q3
wistful, Q3
gentle, Q4
soft, Q4
affectionate, Q4
caring, Q4
loving, Q4
kind, Q4
tender-hearted, Q4
compassionate, Q4
warm, Q4
considerate, Q4
mild, Q4
sympathetic, Q4
delicate, Q4
nurturing, Q4
responsive, Q4
